,a,b,pr,pr0
ARSON,0.530527762971063,262.1089309530369,0.002024073582849871,0.001711770645526717
ASSAULT,2.9044556450084804,39.015944832094114,0.07444278634050418,0.08735044800069292
BAD CHECKS,0.4202960165814364,929.8788802934378,0.0004519900661135625,0.0004718196053582296
BRIBERY,31.435864511922134,103768.02299516593,0.0003029436584080106,0.0003305016559272623
BURGLARY,0.5639637910998924,12.136917412831085,0.046466806349334866,0.04165232593389511
DISORDERLY CONDUCT,0.43331478002571755,108.91924982276979,0.003978312196703472,0.0047979723153578424
DRIVING UNDER THE INFLUENCE,0.5254569370831846,150.18381373594423,0.0034987587810697903,0.002486740045632022
DRUG/NARCOTIC,0.9912988537748225,31.156920112155735,0.031816330054653626,0.061637419169551906
DRUNKENNESS,0.8386663153897786,204.21288624138268,0.004106823672226358,0.00480936892418292
EMBEZZLEMENT,0.3295717960690284,261.58587569482154,0.0012598990491884297,0.0013014927278239088
EXTORTION,2.627027197470175,9523.191705045141,0.0002758557507645723,0.00029403250768701266
FAMILY OFFENSES,0.41341000859239196,843.698812235095,0.0004899971442382404,0.0005401992583086977
FORGERY/COUNTERFEITING,1.0571135070729067,96.0275874171089,0.011008435549684179,0.011991511805747082
FRAUD,1.9092152576511778,102.71246481765752,0.018587960682674227,0.019011822841995134
GAMBLING,0.04938281323941416,271.2757186031002,0.00018203919426959655,0.00016183184531610775
KIDNAPPING,2.2733857550689027,827.1490184366473,0.0027484597145091393,0.0025847508815276927
LARCENY/THEFT,2.129716385883957,10.200229266467533,0.20879103108841243,0.19900986262527723
LIQUOR LAWS,0.38379398721692004,227.051390012873,0.0016903397384845798,0.002272483799720555
LOITERING,0.06827417174648741,68.4065302426145,0.000998065118992914,0.0014131794943096731
MISSING PERSON,0.6757733468107631,30.562031020075167,0.022111532651965124,0.029829483938759182
NON-CRIMINAL,3.4379144653490505,36.96136445418844,0.09301373247760251,0.10498100185308859
OTHER OFFENSES,1.8218534242430047,11.644209429596442,0.1564600358022026,0.1440759287666362
PORNOGRAPHY/OBSCENE MAT,0.0017884787094620894,29.43732481948981,6.0755476947347356e-05,2.7351861180187223e-05
PROSTITUTION,0.043412290489719965,13.9833837414113,0.0031045626217891735,0.008435769852322743
RECOVERED VEHICLE,0.5486781581873487,111.13793168596037,0.004936911726391801,0.0035466246663642766
ROBBERY,1.675002807145858,61.603689630943,0.027189975424857,0.026303373168280048
RUNAWAY,0.08457226723966856,66.80831751890437,0.001265894283533448,0.002204104146770087
SECONDARY CODES,1.1602683870714718,100.49967729221525,0.011544996146583117,0.011287201380357261
SEX OFFENSES FORCIBLE,1.9026879432378543,401.7899727888606,0.0047355286893575885,0.005000831952444231
SEX OFFENSES NON FORCIBLE,0.7671873283239294,4937.361310901507,0.00015538407663826605,0.00017322845414118575
STOLEN PROPERTY,4.240596825179514,860.4194804460054,0.004928522565506497,0.005180898371880464
SUICIDE,0.18215896600297074,297.8791154885671,0.0006115197626533914,0.0006062995894941501
SUSPICIOUS OCC,4.164474382429996,112.49976870202683,0.037017626173616903,0.03568278223131925
TREA,0.0010025499519374416,29.495445762550037,3.3989991539994475e-05,2.279321765015602e-06
TRESPASS,0.5400008444589173,92.24034093645969,0.005854280664800449,0.008403859347612525
VANDALISM,2.9697033340753465,45.740068849173866,0.06492564197635622,0.050915489586918515
VEHICLE THEFT,2.2075198140904613,18.087295105301443,0.12204808962526577,0.06111773380712835
WARRANTS,1.4397174049520591,43.543202508450705,0.033064113845844116,0.04837404581892612
WEAPON LAWS,1.491674959388281,169.6080047704389,0.008794838200043882,0.010022177800773602
